#Peloponnesian Immersion Pack Stuff;;;;;;;;;;;;;;x
duke_tsakonian;Doux;Doux;Doux;;Duque;;;;;;;;;x
king_tsakonian;Despot;Despote;Despot;;Déspota;;;;;;;;;x
emperor_tsakonian;Basileus;Basileus;Basileus;;Basileus;;;;;;;;;x
emperor_female_tsakonian;Basilissa;Basilissa;Basilissa;;Basilissa;;;;;;;;;x
job_marshal_tsakonian;Protostrator;Protostrator;Protostrator;;Protostrator;;;;;;;;;x
job_chancellor_tsakonian;Magistros;Maître des offices;Magistros;;Magistros;;;;;;;;;x
job_treasurer_tsakonian;Sakellarios;Sacellaire;Sakellarios;;Sakellarios;;;;;;;;;x
job_spymaster_tsakonian;Mystikos;Mystique;Mystikos;;Mystikos;;;;;;;;;x
city_job_marshal_tsakonian;Protostrator;Protostrator;Protostrator;;Protostrator;;;;;;;;;x
city_job_chancellor_tsakonian;Magistros;Magistros;Magistros;;Magistros;;;;;;;;;x
city_job_spymaster_tsakonian;Mystikos;Mystikos;Mystikos;;Mystikos;;;;;;;;;x
city_job_treasurer_tsakonian;Sakellarios;Sakellarios;Sakellarios;;Sakellarios;;;;;;;;;x
council_tsakonian;Consistorium;Consistorium;Konsistorium;;Consistorium;;;;;;;;;x
