#Stuff;;;;;;;;;;;;;;x
VIET_amalfian_laws_enacted;Amalfian Laws Recently Enacted;Lois amalfiennes récemment adoptées;;;;;;;;;;;;x
VIET_amalfian_laws_enacted_desc;The city of Amalfi has recently enacted the so-called Amalfian Laws, or Tabula Amalfitana, a mercantile law code that is quickly becoming the international standard.;La ville d'Amalfi a récemment adopté les lois dites amalfiennes, ou Tabula Amalfitana, un code de droit commercial qui devient rapidement la norme internationale.;;;;;;;;;;;;x
VIET_amalfian_laws_reformed;Amalfian Laws Recently Reformed;Lois amalfiennes récemment réformées;;;;;;;;;;;;x
VIET_amalfian_laws_reformed_desc;The city of Amalfi has recently reformed the Amalfian Laws, or the Tabula Amalfitana, a mercantile law code that has been the international standard for years.;La ville d'Amalfi a récemment réformé les lois amalfiennes, ou Tabula Amalfitana, un code de droit commercial qui est la norme internationale depuis des années.;;;;;;;;;;;;x
VIET_amalfi_law_creator;Enacted the Amalfian Laws;A adopté les lois amalfiennes;;;;;;;;;;;;x
VIET_amalfi_law_creator_desc;This great patrician was responsible for spearheading the effort to create the Amalfian Laws, or Tabula Amalfitana, a mercantile law code that is quickly becoming the international standard.;Ce grand patricien a été le fer de lance des efforts visant à créer les lois amalfiennes, ou Tabula Amalfitana, un code de droit commercial qui devient rapidement la norme internationale.;;;;;;;;;;;;x
VIET_amalfi_law_reformer;Reformed the Amalfian Laws;Réforme des lois amalfiennes;;;;;;;;;;;;x
VIET_amalfi_law_reformer_desc;This patrician, along with other like-minded individuals, reformed and added to the Amalfian Laws, or Tabula Amalfitana, a mercantile law code that has been the international standard for years.;Ce patricien, avec d’autres personnes aux vues similaires, a réformé et ajouté aux lois amalfiennes, ou Tabula Amalfitana, un code de droit commercial qui est la norme internationale depuis des années.;;;;;;;;;;;;x
VIET_rebuilt_temple_of_sirens;Rebuilt the Temple to the Sirens;A reconstruit le Temple des Sirènes;;;;;;;;;;;;x
VIET_rebuilt_temple_of_sirens_desc;This leader does not fear the Sirens - on the contrary, he or she believes they are to be revered and worshipped, and has in fact spearheaded the efforts to rebuild the ancient Temple to the Sirens in Sorrento.;Ce dirigeant ne craint pas les sirènes - au contraire, il croit qu'elles doivent être vénérées et adorées, et a en fait dirigé les efforts visant à reconstruire l'ancien temple des Sirènes à Sorrente.;;;;;;;;;;;;x
VIET_temple_of_sirens;Temple to the Sirens;Temple des Sirènes;;;;;;;;;;;;x
VIET_temple_of_sirens_desc;Here stands the Temple to the Sirens, rebuilt in all its glory. Like in antiquity, it is the only major temple in the world dedicated to the mythological Sirens.;Ici se dresse le Temple des Sirènes, reconstruit dans toute sa splendeur. Comme dans l'Antiquité, c'est le seul temple majeur au monde dédié aux Sirènes mythologiques.;;;;;;;;;;;;x
enact_amalfi_laws;Enact the Amalfian Maritime Laws;Promulguer les lois maritimes amalfiennes;;;;;;;;;;;;x
enact_amalfi_laws_desc;Many Amalfian leaders have spoken for years about the need to develop a comprehensive maritime law code that surpasses all others made before it. With my aid, perhaps they can realize their great ambitions!;De nombreux dirigeants amalfiens parlent depuis des années de la nécessité d'élaborer un code de droit maritime complet qui surpasse tous les autres. Avec mon aide, ils pourront peut-être réaliser leurs grandes ambitions !;;;;;;;;;;;;x
reform_amalfi_laws;Reform the Amalfian Maritime Laws;Réformer les lois maritimes amalfiennes;;;;;;;;;;;;x
reform_amalfi_laws_desc;Though the Tabula Amalfitana, or the Amalfian Laws, have served us well for years, perhaps it is time to reform this maritime law code to ensure it is up to date.;Bien que la Tabula Amalfitana ou les lois amalfiennes nous servent bien depuis des années, il est peut-être temps de réformer ce code de droit maritime pour qu'il soit à jour.;;;;;;;;;;;;x
restore_temple_of_the_sirens;Restore the Temple of the Sirens;Restaurer le Temple des Sirènes;;;;;;;;;;;;x
restore_temple_of_the_sirens_desc;In ancient times, Sorrento (then known as Surrentum), was home to the world's only Temple to the Sirens. Perhaps we should rebuild it so that we can worship these dangerous but enchanting creatures of mythology.;Dans les temps anciens, Sorrente (à l'époque connue sous le nom de Surrentum) abritait l'unique temple au monde dédié aux Sirènes. Peut-être devrions-nous le reconstruire afin de pouvoir vénérer ces créatures mythiques dangereuses mais envoûtantes.;;;;;;;;;;;;x
VIET_siren_enchantment_curse;Sirens' Curse;La malédiction des sirènes;;;;;;;;;;x;x
VIET_siren_enchantment_neutral;Sirens' Acknowledgement;Reconnaissance des sirènes;;;;;;;;;;x;x
VIET_siren_enchantment_blessing;Sirens' Blessing;Bénédiction des sirènes;;;;;;;;;;x;x
VIET_siren_danger_curse;Sirens' Curse;Malédiction des sirènes;;;;;;;;;;x;x
VIET_siren_danger_neutral;Sirens' Acknowledgement;Reconnaissance des sirènes;;;;;;;;;;x;x
VIET_siren_danger_blessing;Sirens' Blessing;Bénédiction des sirènes;;;;;;;;;;x;x
VIET_siren_mystery_curse;Sirens' Curse;La malédiction des sirènes;;;;;;;;;;x;x
VIET_siren_mystery_neutral;Sirens' Acknowledgement;Reconnaissance des sirènes;;;;;;;;;;x;x
VIET_siren_mystery_blessing;Sirens' Blessing;Bénédiction des sirènes;;;;;;;;;;x;x
make_offerings_to_sirens;Worship at the Temple of the Sirens;Culte du Temple des Sirènes;;;;;;;;;;x;x
make_offerings_to_sirens_desc;It is time I go visit the Temple of the Sirens in Sorrento and make some offerings. Hopefully they won't curse me, and provide me a great boon instead!;Il est temps que je visite le temple des Sirènes à Sorrente et que je fasse quelques offrandes. Si tout va bien, elles ne me maudiront pas et me fourniront un avantage considérable!;;;;;;;;;;x;x
bambagina_paper_status;Change Legal Status of Bambagina Paper;Changer le statut juridique du papier Bambagina;;;;;;;;;;x;x
bambagina_paper_status_desc;You've considered changing the legal status of Bambagina Paper, the popular kind of parchment specially produced in Amalfi.;Vous avez envisagé de modifier le statut juridique du papier Bambagina, le type populaire de parchemin spécialement fabriqué à Amalfi.;;;;;;;;;;x;x
VIET_recent_bambagina_paper_change;Bambagina Paper laws have not been changed within the last twenty years;Les lois sur le papier Bambagina n'ont pas été modifiées au cours des vingt dernières années;;;;;;;;;;x;x
VIET_new_amalfi_resort_home;New Villa in Amalfi;Nouvelle Villa à Amalfi;;;;;;;;;;x;x
VIET_new_amalfi_resort_home_desc;This character recently acquired a new vacation villa along a beautiful, picturesque part of the Amalfi Coast. The villa was in fact previously an ancient Roman ruin, and it is a known fact that the region has always attracted tourists and the wealthy since ancient times.;Ce personnage a récemment acquis une nouvelle villa de vacances dans une partie magnifique et pittoresque de la côte amalfitaine. La villa était en fait une ancienne ruine romaine et il est de notoriété publique que la région a toujours attiré les touristes et les riches depuis l'Antiquité.;;;;;;;;;;x;x
VIET_new_amalfi_resort_temple;New House of Worship in Amalfi;Nouvelle maison d'adoration à Amalfi;;;;;;;;;;x;x
VIET_new_amalfi_resort_temple_desc;This character recently transformed an ancient Roman ruin along the Amalfi Coast into a house of worship.;Ce personnage a récemment transformé une ancienne ruine romaine de la côte amalfitaine en un lieu de culte.;;;;;;;;;;x;x
VIET_new_amalfi_resort_hostel;New Hostel in Amalfi;Nouvelle auberge à Amalfi;;;;;;;;;;x;x
VIET_new_amalfi_resort_hostel_desc;This character recently transformed an ancient Roman ruin along the Amalfi Coast into a hostel, a sly business decision, given that the region has always attracted tourists and travelers since ancient times.;Ce personnage a récemment transformé une ancienne ruine romaine de la côte amalfitaine en une auberge, une décision sournoise dans le domaine des affaires, étant donné que la région a toujours attiré les touristes et les voyageurs depuis l'Antiquité.;;;;;;;;;;x;x
VIET_amalfi_limoncello_trade_booming;Lemon Flavored Liquor Trade is Booming;Le commerce des boissons aromatisées au citron est en plein essor;;;;;;;;;;x;x
VIET_amalfi_fabric_trade_booming;Atrani's Fabric Trade is Booming;Le commerce de tissus d'Atrani est en plein essor;;;;;;;;;;x;x
VIET_amalfi_blue_grotto_riches;Riches of the Blue Grotto;Richesses de la grotte bleue;;;;;;;;;;x;x
VIET_amalfi_blue_grotto_riches_desc;This character recently acquired a number of ancient treasures previously submerged in the famous Blue Grotto of Capri.;Ce personnage a récemment acquis un certain nombre de trésors antiques jusque-là immergés dans la célèbre grotte bleue de Capri.;;;;;;;;;;x;x
VIET_amalfion_connections;Connections with Amalfion;Connexions avec Amalfion;;;;;;;;;;x;x
