#Stuff;;;;;;;;;;;;;;x
cao_cao_bloodline;Blood of Cao Cao;xxx;;;;;;;;;;;;x
cao_cao_bloodline_desc;The Cao family of Dunhuang claim descent from the Chinese warlord Cao Cao of Three Kingdoms fame. He was a ruthless yet brilliant and cultured statesman and poet.;xxx;;;;;;;;;;;;x
wonder_VIET_dunhuang_mogao_caves;Mogao Caves;xxx;;;;;;;;;;;;x
wonder_VIET_dunhuang_mogao_caves_desc;For generations, Buddhist devotees have carved so-called Buddha grottoes in the cliffs of Dunhuang.;xxx;;;;;;;;;;;;x
RULE_GROUP_MONOGATARI;CYBRXKHAN'S IMMERSION PACKS;xxx;;;;;;;;;;;;x
RULE_DUNHUANG_START_NO;None;xxx;;;;;;;;;;;;x
RULE_DUNHUANG_START_NO_DESC;Human player(s) will not start as the Tuyuhun chieftains or count-tier vassals of Dunhuang when the game starts at the 769, 867, or 936 start dates.;xxx;;;;;;;;;;;;x
RULE_DUNHUANG_START;Dunhuang Starting Characters;xxx;;;;;;;;;;;;x
RULE_DUNHUANG_START_YES;Yes;xxx;;;;;;;;;;;;x
RULE_DUNHUANG_START_YES_DESC;Human player(s) can opt to play as the Tuyuhun chieftains or count-tier vassals of Dunhuang when the game starts at the 769, 867, or 936 start dates.;xxx;;;;;;;;;;;;x
longxi_li_bloodline;Blood of Laozi and Li Guang;xxx;;;;;;;;;;;;x
longxi_li_bloodline_desc;Some Li clans, including the Tang Emperors and several in Dunhuang, claim descent from Han general Li Guang and the Taoist philosopher Laozi.;xxx;;;;;;;;;;;;x
KINGDOM_LIANG;Liang;xxx;;;;;;;;;;;;x
KINGDOM_LIANG_ADJ;Liang;xxx;;;;;;;;;;;;x
KINGDOM_JINSHAN;Jinshan;xxx;;;;;;;;;;;;x
KINGDOM_JINSHAN_ADJ;Jinshan;xxx;;;;;;;;;;;;x
KINGDOM_GUIYI;Guiyi;xxx;;;;;;;;;;;;x
KINGDOM_GUIYI_ADJ;Guiyi;xxx;;;;;;;;;;;;x
xiongnu;Xiongnu;xxx;;;;;;;;;;;;x
tuyuhun;Tuyuhun;xxx;;;;;;;;;;;;x
di;Di;xxx;;;;;;;;;;;;x
k_dunhuang;Dunhuang;xxx;;;;;;;;;;;;x
k_dunhuang_adj;Dunhuang;xxx;;;;;;;;;;;;x
establish_kingdom_of_dunhuang;Establish a Kingdom aruond Dunhuang;xxx;;;;;;;;;;;;x
establish_kingdom_of_dunhuang_desc;It is time to establish an independent state in the region around Dunhuang.;xxx;;;;;;;;;;;;x
patronize_mogao_cave;Patronize a Mogao Cave;xxx;;;;;;;;;;;;x
patronize_mogao_cave_desc;I should spend some funds to make my own contribution to the Mogao Caves that have stood near Dunhuang for centuries.;xxx;;;;;;;;;;;;x
dunhuang_yin_bloodline;Blood of the Yin Clan;xxx;;;;;;;;;;;;x
dunhuang_yin_bloodline_desc;The Yin are an old noble clan of Dunhuang, connected to many Sogdian merchant families. Their ancestor Yin Dan fled there after the fall of the Han Dynasty.;xxx;;;;;;;;;;;;x
