#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silkroad.300.desc;The new year shall soon be upon us and the world of Iran - from the snow-capped Pamir mountains to the fertile plains of Mesopotamia - shall soon be celebrating this holiday which has been observed since ancient times. This year, you intend to make Nowruz a spectacle to be remembered for years. Let us make preparations!;;;;;;;;;;;;;x
silkroad.300.a;You begin first by cleaning out your entire residence.;;;;;;;;;;;;;x
silkroad.301.tooltip;I have a good feeling about the upcoming new year.;;;;;;;;;;;;;x
silkroad.301.desc;Nowruz has officially begun! You wake up in the morning, full of energy and excitement. Before you do anything of importance, however, you first taste honey thrice, and light three candles before speaking to anyone, to ensure good luck and ward off disease.;;;;;;;;;;;;;x
silkroad.301.a;Now that that's taken care of...;;;;;;;;;;;;;x
silkroad.302.tooltip;Time to prepare for the court ceremony.;;;;;;;;;;;;;x
silkroad.302.name;The First Day of Nowruz;;;;;;;;;;;;;x
silkroad.302.desc;You welcome Nowruz in a lavishly decorated hall. Your servants have placed silver and gold plates and vases, filled to the brim with fruits and colorful flowers, all throughout, and it looks beautiful.\n\nAs custom has it, you are first greeted by a court Astronomer. He kisses the ground, and congratulates you on the New Year, and wishes you good fortune and prosperity for the coming year.;;;;;;;;;;;;;x
silkroad.302.a;Good. Now, let the musicians and singers come in!;;;;;;;;;;;;;x
silkroad.303.tooltip;My court will enjoy the entertainment, certainly.;;;;;;;;;;;;;x
silkroad.303.name;The Song and Music of Nowruz;;;;;;;;;;;;;x
silkroad.303.desc;All is festive and joyful as the musicians and singers come in, and your courtiers sit at their assigned locations. As the highest ranking member of the court, you have the right to choose whichever song you want the musicians and singers to perform first. There are many songs traditionally performed during Nowruz, and only Nowruz, after all.\n\nPerhaps you'd like to hear the grand “Nowruz-e bozorg”? Or the softer, more exotic “Nowruz-e Rahawi”? Or maybe the uplifting, spiritual “Bad-e Nowruzi”? Then again there is also the sweet, lovely “Takt-e Piruzi”...;;;;;;;;;;;;;x
silkroad.303.a;Play the majestic Nowruz-e bozorg!;;;;;;;;;;;;;x
silkroad.303.b;I wish to hear the soft sounds of Nowruz-e Rahawi!;;;;;;;;;;;;;x
silkroad.303.c;Inspire me with Bad-e Nowruzi!;;;;;;;;;;;;;x
silkroad.303.d;Let me be moved with Takt-e Piruzi!;;;;;;;;;;;;;x
silkroad.304.tooltip;The Nowruz festivities continue in your court.;;;;;;;;;;;;;x
silkroad.304.name;Nowruz Ends;;;;;;;;;;;;;x
